ïΩê¨óÔîN,15çŒà»â∫,16Å`24çŒ,25Å`29çŒ,30Å`39çŒ,40Å`49çŒ,50Å`59çŒ,60Å`64çŒ,65Å`74çŒ,75çŒà»è„
12,231,1563,602,780,804,1228,692,1468,1698
13,270,1402,590,810,704,1172,583,1460,1756
14,258,1316,539,751,678,1066,574,1409,1735
15,225,1039,497,678,637,960,557,1383,1726
16,221,931,420,716,563,916,545,1308,1738
17,182,829,364,643,539,887,503,1240,1684
18,158,772,306,547,472,816,472,1152,1657
19,133,670,266,478,454,673,343,1092,1635
20,127,551,210,425,417,568,358,979,1520
21,111,519,184,372,382,523,371,914,1538
22,111,469,198,378,395,489,373,906,1544
