"","sex","pref.E","pref.A","pref.J","year","LE","rank"
"1",1,"Wakayama","Wky","和歌山","LE.75",71.25,28.5
"2",1,"Wakayama","Wky","和歌山","LE.85",74.19,40.5
"3",1,"Wakayama","Wky","和歌山","LE.90",75.23,44
"4",1,"Wakayama","Wky","和歌山","LE.95",76.07,44
"5",1,"Wakayama","Wky","和歌山","LE.00",77.01,41
"6",1,"Wakayama","Wky","和歌山","LE.05",77.97,42
"7",1,"Wakayama","Wky","和歌山","LE.10",79.07,37
"8",1,"Wakayama","Wky","和歌山","LE.15",79.94,44
"9",0,"Wakayama","Wky","和歌山","LE.75",76.81,22.5
"10",0,"Wakayama","Wky","和歌山","LE.85",80.13,43
"11",0,"Wakayama","Wky","和歌山","LE.90",81.7,40
"12",0,"Wakayama","Wky","和歌山","LE.95",82.71,44
"13",0,"Wakayama","Wky","和歌山","LE.00",84.23,41
"14",0,"Wakayama","Wky","和歌山","LE.05",85.34,41
"15",0,"Wakayama","Wky","和歌山","LE.10",85.69,45
"16",0,"Wakayama","Wky","和歌山","LE.15",86.47,41
